STATION ID,TIME,TEN WEEK AHEAD,EIGHT WEEK AHEAD,FIVE WEEKS AHEAD,TWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,TARGET
21,2020-03-23 13:40:02,7,19,20,23,27,18,16,2,15,9,9,10,10,9
21,2020-03-23 13:45:02,8,18,20,21,27,18,15,2,8,9,9,10,9,9
21,2020-03-23 13:50:02,8,21,20,21,26,16,15,2,8,9,9,10,9,9
21,2020-03-23 13:55:02,7,22,20,21,26,16,13,2,9,9,9,11,9,9
21,2020-03-23 14:00:02,7,23,20,21,27,16,13,2,10,9,9,11,9,9
21,2020-03-23 14:05:02,7,23,20,20,27,16,13,2,10,9,9,11,9,9
21,2020-03-23 14:10:02,7,23,19,20,28,16,12,3,10,9,9,11,9,10
21,2020-03-23 14:15:02,7,23,21,20,27,16,11,3,10,9,9,11,9,10
21,2020-03-23 14:20:02,7,23,23,19,27,16,11,3,11,9,9,11,9,10
21,2020-03-23 14:25:02,7,23,25,19,28,17,10,3,11,9,10,11,9,9
21,2020-03-23 14:30:02,7,23,24,20,26,17,9,3,10,9,10,11,9,10
21,2020-03-23 14:35:02,7,23,25,20,27,16,9,3,10,9,10,11,9,10
21,2020-03-23 14:40:02,7,22,25,23,30,15,6,3,9,9,10,10,9,10
21,2020-03-23 14:45:02,7,22,25,23,30,15,6,3,9,9,10,9,9,10
21,2020-03-23 14:50:02,7,22,25,23,30,15,5,3,9,9,10,9,9,11
21,2020-03-23 14:55:02,7,21,25,23,26,15,5,3,9,9,11,9,9,12
21,2020-03-23 15:00:02,8,21,26,23,20,15,5,3,9,9,11,9,9,12
21,2020-03-23 15:05:02,8,21,27,23,20,15,4,3,9,9,11,9,9,12
21,2020-03-23 15:10:02,9,19,28,23,21,15,4,4,9,9,11,9,10,12
21,2020-03-23 15:15:02,9,19,29,22,21,15,4,4,9,9,11,9,10,12
21,2020-03-23 15:20:02,9,19,30,22,21,15,4,4,9,9,11,9,10,12
21,2020-03-23 15:25:02,10,9,30,22,21,16,4,4,9,10,11,9,9,12
21,2020-03-23 15:30:02,10,11,30,26,20,16,4,5,9,10,11,9,10,11
21,2020-03-23 15:35:02,9,11,30,26,20,16,4,5,9,10,11,9,10,11
21,2020-03-23 15:40:02,9,8,30,25,20,16,4,5,9,10,10,9,10,12
21,2020-03-23 15:45:02,10,7,30,25,20,16,4,4,9,10,9,9,10,12
21,2020-03-23 15:50:02,10,13,30,24,20,16,4,4,9,10,9,9,11,12
21,2020-03-23 15:55:02,10,13,29,24,20,16,4,4,9,11,9,9,12,14
21,2020-03-23 16:00:02,10,13,29,24,20,17,4,4,9,11,9,9,12,15
21,2020-03-23 16:05:02,8,14,30,25,20,17,4,4,9,11,9,9,12,14
21,2020-03-23 16:10:02,9,16,29,26,20,17,4,5,9,11,9,10,12,12
21,2020-03-23 16:15:02,9,16,29,27,20,17,5,5,9,11,9,10,12,12
21,2020-03-23 16:20:02,9,16,29,28,20,17,5,5,9,11,9,10,12,12
21,2020-03-23 16:25:02,10,18,28,27,16,16,5,6,10,11,9,9,12,12
21,2020-03-23 16:30:02,10,18,26,28,15,16,5,6,10,11,9,10,11,13
21,2020-03-23 16:35:02,10,20,26,28,15,16,5,6,10,11,9,10,11,13
21,2020-03-23 16:40:02,11,19,26,28,16,16,5,6,10,10,9,10,12,13
21,2020-03-23 16:45:02,12,16,24,30,16,16,5,6,10,9,9,10,12,12
21,2020-03-23 16:50:02,11,12,24,30,16,16,5,6,10,9,9,11,12,12
21,2020-03-23 16:55:02,11,12,22,27,15,16,5,6,11,9,9,12,14,12
21,2020-03-23 17:00:02,11,13,23,28,13,15,5,6,11,9,9,12,15,12
21,2020-03-23 17:05:02,11,13,23,28,14,15,5,6,11,9,9,12,14,12
21,2020-03-23 17:10:02,11,14,23,28,15,15,5,6,11,9,10,12,12,12
21,2020-03-23 17:15:02,11,13,22,26,16,15,4,6,11,9,10,12,12,12
21,2020-03-23 17:20:02,11,11,22,27,16,15,4,6,11,9,10,12,12,12
21,2020-03-23 17:25:02,11,13,22,27,16,15,5,6,11,9,9,12,12,12
21,2020-03-23 17:30:02,11,15,23,28,15,16,6,6,11,9,10,11,13,12
21,2020-03-23 17:35:02,23,15,24,27,15,16,6,6,11,9,10,11,13,12
21,2020-03-23 17:40:02,23,17,20,25,15,16,6,6,10,9,10,12,13,12
21,2020-03-23 17:45:02,18,12,20,25,14,14,6,6,9,9,10,12,12,12
21,2020-03-23 17:50:02,20,14,21,24,11,12,6,6,9,9,11,12,12,12
21,2020-03-23 17:55:02,20,11,21,25,11,12,5,6,9,9,12,14,12,12
21,2020-03-23 18:00:02,19,10,21,26,10,6,5,6,9,9,12,15,12,10
21,2020-03-23 18:05:02,19,7,19,26,10,6,5,6,9,9,12,14,12,10
21,2020-03-23 18:10:03,17,8,18,24,9,6,5,6,9,10,12,12,12,10
21,2020-03-23 18:15:03,17,6,16,22,9,6,5,6,9,10,12,12,12,9
21,2020-03-23 18:20:02,14,4,15,22,9,5,5,6,9,10,12,12,12,9
21,2020-03-23 18:25:02,16,2,17,20,6,5,5,6,9,9,12,12,12,9
21,2020-03-23 18:30:02,15,2,17,20,6,5,5,6,9,10,11,13,12,8
21,2020-03-23 18:35:02,15,0,17,19,6,5,4,6,9,10,11,13,12,8
21,2020-03-23 18:40:02,14,0,17,18,6,5,4,6,9,10,12,13,12,8
21,2020-03-23 18:45:02,14,0,17,18,7,5,4,6,9,10,12,12,12,8
21,2020-03-23 18:50:02,14,1,17,17,7,5,4,6,9,11,12,12,12,8
21,2020-03-23 18:55:02,13,2,17,17,7,5,4,6,9,12,14,12,12,8
21,2020-03-23 19:00:02,14,2,17,17,7,5,4,6,9,12,15,12,10,8
21,2020-03-23 19:05:02,14,5,24,17,6,5,4,6,9,12,14,12,10,8
21,2020-03-23 19:10:02,14,5,23,16,6,5,4,6,10,12,12,12,10,8
21,2020-03-23 19:15:02,12,5,23,18,5,5,4,6,10,12,12,12,9,8
21,2020-03-23 19:20:02,13,5,21,16,5,5,4,6,10,12,12,12,9,8
21,2020-03-23 19:25:02,13,4,21,15,4,5,4,6,9,12,12,12,9,8
21,2020-03-23 19:30:02,16,7,20,16,4,4,3,6,10,11,13,12,8,8
21,2020-03-23 19:35:02,16,8,21,14,4,4,3,6,10,11,13,12,8,8
21,2020-03-23 19:40:02,16,7,22,12,4,4,3,6,10,12,13,12,8,8
21,2020-03-23 19:45:02,14,5,21,12,4,4,3,6,10,12,12,12,8,8
21,2020-03-23 19:50:02,14,3,22,12,6,4,2,6,11,12,12,12,8,8
21,2020-03-23 19:55:02,14,3,22,11,7,4,2,6,12,14,12,12,8,8
21,2020-03-23 20:00:02,14,3,22,11,7,4,2,6,12,15,12,10,8,8
21,2020-03-23 20:05:02,14,2,23,11,7,4,2,6,12,14,12,10,8,8
21,2020-03-23 20:10:02,14,0,23,11,6,4,2,6,12,12,12,10,8,8
21,2020-03-23 20:15:02,12,0,23,11,6,4,2,6,12,12,12,9,8,8
21,2020-03-23 20:20:02,13,0,21,11,6,4,2,6,12,12,12,9,8,9
21,2020-03-23 20:25:02,13,0,22,12,6,4,2,6,12,12,12,9,8,9
21,2020-03-23 20:30:02,13,0,21,12,4,4,2,6,11,13,12,8,8,9
21,2020-03-24 05:55:02,2,1,7,4,1,1,2,8,8,8,8,8,8,8
21,2020-03-24 06:00:02,2,1,5,4,1,2,2,8,8,8,8,8,8,9
21,2020-03-24 06:05:02,2,1,4,4,1,2,2,8,8,8,8,8,8,9
21,2020-03-24 06:10:02,2,1,4,4,1,2,2,8,8,8,8,8,8,9
21,2020-03-24 06:15:02,2,2,3,4,1,2,2,8,8,8,8,8,8,9
21,2020-03-24 06:20:02,2,2,3,4,1,2,2,8,8,8,8,8,8,10
21,2020-03-24 06:25:02,2,2,3,4,1,2,2,8,8,8,8,8,8,10
21,2020-03-24 06:30:02,2,2,2,4,1,2,2,8,8,8,8,8,8,10
21,2020-03-24 06:35:02,1,0,2,4,2,2,2,8,8,8,8,8,8,10
21,2020-03-24 06:40:02,0,0,1,4,2,2,3,8,8,8,8,8,8,10
21,2020-03-24 06:45:02,1,0,1,4,2,2,3,8,8,8,8,8,8,10
21,2020-03-24 06:50:02,1,0,2,4,2,2,4,8,8,8,8,8,8,11
21,2020-03-24 06:55:02,2,1,2,4,2,2,4,9,8,8,8,8,8,12
21,2020-03-24 07:00:02,3,4,4,5,2,2,4,9,8,8,8,8,9,12
21,2020-03-24 07:05:02,4,4,5,6,2,2,4,9,8,8,8,8,9,14
21,2020-03-24 07:10:02,4,5,6,6,2,2,4,9,8,8,8,8,9,14
21,2020-03-24 07:15:02,2,5,6,5,2,2,4,9,8,8,8,8,9,15
21,2020-03-24 07:20:02,2,5,6,4,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:25:02,2,4,6,4,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:30:02,2,4,6,3,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:35:02,3,5,6,3,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:40:02,4,6,6,2,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:45:02,4,5,5,0,2,2,4,9,8,8,8,8,10,15
21,2020-03-24 07:50:02,6,5,5,0,2,2,4,9,8,8,8,8,11,15
21,2020-03-24 07:55:02,8,5,5,0,2,2,4,9,8,8,8,8,12,15
21,2020-03-24 08:00:02,7,3,5,1,2,2,5,9,8,8,8,9,12,14
21,2020-03-24 08:05:02,6,3,5,1,2,2,5,9,8,8,8,9,14,14
21,2020-03-24 08:10:02,6,4,6,0,2,2,5,9,8,8,8,9,14,15
21,2020-03-24 08:15:02,7,4,6,1,2,2,5,10,8,8,8,9,15,15
21,2020-03-24 08:20:02,7,9,6,2,2,2,5,11,8,8,8,10,15,15
21,2020-03-24 08:25:02,7,10,7,3,2,2,5,11,8,8,8,10,15,15
21,2020-03-24 08:30:02,8,10,9,4,3,2,5,11,8,8,8,10,15,15
21,2020-03-24 08:35:02,9,12,9,6,3,2,5,11,8,8,8,10,15,16
21,2020-03-24 08:40:02,6,13,9,6,3,2,5,11,8,8,8,10,15,16
21,2020-03-24 08:45:02,5,16,8,5,3,2,5,11,8,8,8,10,15,16
21,2020-03-24 08:50:02,5,17,14,6,3,2,5,12,8,8,8,11,15,16
21,2020-03-24 08:55:02,9,18,15,8,4,2,5,12,8,8,8,12,15,16
21,2020-03-24 09:00:02,11,19,16,12,4,2,5,12,8,8,9,12,14,16
21,2020-03-24 09:05:02,13,20,15,12,4,2,5,11,8,8,9,14,14,16
21,2020-03-24 09:10:02,15,20,20,13,4,2,5,12,8,8,9,14,15,16
21,2020-03-24 09:15:02,18,20,21,14,4,2,5,12,8,8,9,15,15,16
21,2020-03-24 09:20:02,21,18,21,19,4,2,5,13,8,8,10,15,15,16
21,2020-03-24 09:25:02,22,23,23,19,5,2,5,13,8,8,10,15,15,16
21,2020-03-24 09:30:02,22,24,25,20,5,2,5,15,8,8,10,15,15,16
21,2020-03-24 09:35:02,24,24,24,21,5,2,5,15,8,8,10,15,16,16
21,2020-03-24 09:40:02,25,24,24,21,5,2,5,15,8,8,10,15,16,17
21,2020-03-24 09:45:02,25,21,24,22,5,2,6,8,8,8,10,15,16,17
21,2020-03-24 09:50:02,25,24,25,22,5,2,6,8,8,8,11,15,16,17
21,2020-03-24 09:55:02,27,26,25,20,5,2,6,9,8,8,12,15,16,17
21,2020-03-24 10:00:02,27,27,27,22,5,2,6,10,8,9,12,14,16,17
21,2020-03-24 10:05:02,29,28,28,21,5,2,6,10,8,9,14,14,16,17
21,2020-03-24 10:10:02,30,28,28,23,4,2,6,10,8,9,14,15,16,17
21,2020-03-24 10:15:02,30,28,28,23,4,2,6,10,8,9,15,15,16,10
21,2020-03-24 10:20:02,29,27,28,24,4,2,6,11,8,10,15,15,16,10
21,2020-03-24 10:25:02,30,30,28,24,4,2,6,11,8,10,15,15,16,8
21,2020-03-24 10:30:02,30,30,29,24,4,2,6,10,8,10,15,15,16,8
21,2020-03-24 10:35:02,30,30,29,24,4,2,6,10,8,10,15,16,16,8
21,2020-03-24 10:40:02,30,30,29,24,4,2,6,9,8,10,15,16,17,8
21,2020-03-24 10:45:02,30,30,30,24,4,2,6,9,8,10,15,16,17,8
21,2020-03-24 10:50:02,30,30,29,24,4,2,6,9,8,11,15,16,17,8
21,2020-03-24 10:55:02,30,30,29,30,4,2,6,9,8,12,15,16,17,8
21,2020-03-24 11:00:02,30,14,30,30,4,2,6,9,9,12,14,16,17,8
21,2020-03-24 11:05:02,30,14,30,30,6,2,6,9,9,14,14,16,17,7
21,2020-03-24 11:10:02,30,15,30,30,6,2,6,9,9,14,15,16,17,7
21,2020-03-24 11:15:02,17,16,30,30,7,2,6,9,9,15,15,16,10,7
21,2020-03-24 11:20:02,17,16,30,30,7,2,6,9,10,15,15,16,10,7
21,2020-03-24 11:25:02,17,16,30,30,7,2,6,9,10,15,15,16,8,7
21,2020-03-24 11:30:02,12,15,30,29,7,3,6,9,10,15,15,16,8,7
21,2020-03-24 11:35:02,12,15,30,29,7,3,6,9,10,15,16,16,8,7
21,2020-03-24 11:40:02,13,16,29,29,7,3,6,9,10,15,16,17,8,7
21,2020-03-24 11:45:02,14,16,29,29,7,3,7,9,10,15,16,17,8,7
21,2020-03-24 11:50:02,15,18,29,29,7,2,7,9,11,15,16,17,8,7
21,2020-03-24 11:55:02,13,19,30,29,7,2,7,9,12,15,16,17,8,7
21,2020-03-24 12:00:02,13,20,30,30,7,2,7,9,12,14,16,17,8,8
21,2020-03-24 12:05:02,13,20,30,29,7,2,7,9,14,14,16,17,7,8
21,2020-03-24 12:10:02,15,20,30,30,7,2,7,9,14,15,16,17,7,9
21,2020-03-24 12:15:02,16,21,30,30,7,2,7,9,15,15,16,10,7,9
21,2020-03-24 12:20:02,16,21,30,30,7,2,7,9,15,15,16,10,7,9
21,2020-03-24 12:25:02,16,22,13,30,7,1,7,10,15,15,16,8,7,9
21,2020-03-24 12:30:02,16,21,13,30,7,1,8,10,15,15,16,8,7,9
21,2020-03-24 12:35:02,17,23,11,30,6,1,7,10,15,16,16,8,7,9
21,2020-03-24 12:40:02,16,23,11,30,7,1,7,10,15,16,17,8,7,9
21,2020-03-24 12:45:02,16,22,12,30,7,1,6,10,15,16,17,8,7,9
21,2020-03-24 12:50:02,16,24,13,30,7,1,6,10,15,16,17,8,7,10
21,2020-03-24 12:55:02,16,23,16,30,8,1,5,11,15,16,17,8,7,10
21,2020-03-24 13:00:02,16,23,15,30,8,2,5,11,14,16,17,8,8,10
21,2020-03-24 13:05:02,17,25,14,22,8,3,5,11,14,16,17,7,8,10
21,2020-03-24 13:10:02,16,25,16,22,8,3,5,11,15,16,17,7,9,11
21,2020-03-24 13:15:02,16,24,16,22,7,3,5,11,15,16,10,7,9,11
21,2020-03-24 13:20:02,16,16,13,24,7,3,5,11,15,16,10,7,9,12
21,2020-03-24 13:25:02,16,15,12,24,8,3,5,11,15,16,8,7,9,11
21,2020-03-24 13:30:02,16,16,10,24,8,3,5,11,15,16,8,7,9,11
21,2020-03-24 13:35:02,17,18,10,24,8,3,5,11,16,16,8,7,9,11
21,2020-03-24 13:40:02,17,17,10,24,8,5,5,10,16,17,8,7,9,11
21,2020-03-24 13:45:02,18,16,11,23,8,5,5,9,16,17,8,7,9,11
21,2020-03-24 13:50:02,18,16,12,22,7,5,6,9,16,17,8,7,10,11
21,2020-03-24 13:55:02,18,16,14,22,7,5,6,9,16,17,8,7,10,11
21,2020-03-24 14:00:02,17,16,15,21,7,5,6,9,16,17,8,8,10,10
21,2020-03-24 14:05:02,16,20,15,22,7,5,6,9,16,17,7,8,10,10
21,2020-03-24 14:10:02,16,21,15,22,7,5,6,9,16,17,7,9,11,10
21,2020-03-24 14:15:02,17,22,15,21,7,5,6,9,16,10,7,9,11,10
21,2020-03-24 14:20:02,18,21,15,21,7,5,6,9,16,10,7,9,12,10
21,2020-03-24 14:25:02,18,20,15,23,7,5,7,9,16,8,7,9,11,10
21,2020-03-24 14:30:02,18,20,16,24,8,5,7,9,16,8,7,9,11,10
21,2020-03-24 14:35:02,18,19,17,24,9,5,7,9,16,8,7,9,11,10
21,2020-03-24 14:40:02,17,19,18,25,9,5,7,9,17,8,7,9,11,10
21,2020-03-24 14:45:02,17,18,17,24,9,5,6,9,17,8,7,9,11,9
21,2020-03-24 14:50:03,17,18,17,23,9,5,6,9,17,8,7,10,11,9
21,2020-03-24 14:55:03,17,18,18,25,9,5,6,9,17,8,7,10,11,9
21,2020-03-24 15:00:02,18,18,18,25,9,5,6,9,17,8,8,10,10,9
21,2020-03-24 15:05:02,18,18,17,25,8,6,7,9,17,7,8,10,10,9
21,2020-03-24 15:10:02,19,20,17,27,8,6,7,10,17,7,9,11,10,9
21,2020-03-24 15:15:02,19,20,18,29,8,6,7,10,10,7,9,11,10,9
21,2020-03-24 15:20:02,20,21,19,30,8,7,7,10,10,7,9,12,10,9
21,2020-03-24 15:25:02,20,22,19,29,8,7,7,9,8,7,9,11,10,9
21,2020-03-24 15:30:02,21,23,19,29,10,7,7,10,8,7,9,11,10,9
21,2020-03-24 15:35:02,22,24,19,27,10,7,7,10,8,7,9,11,10,9
21,2020-03-24 15:40:02,23,24,17,28,10,7,8,10,8,7,9,11,10,8
21,2020-03-24 15:45:02,23,24,18,28,10,7,8,10,8,7,9,11,9,8
21,2020-03-24 15:50:02,22,24,18,28,10,7,7,11,8,7,10,11,9,8
21,2020-03-24 15:55:02,23,25,17,28,11,7,6,12,8,7,10,11,9,8
21,2020-03-24 16:00:02,23,25,17,28,12,7,6,12,8,8,10,10,9,8
21,2020-03-24 16:05:03,25,25,18,28,12,7,5,12,7,8,10,10,9,8
21,2020-03-24 16:10:02,26,25,17,28,13,7,5,12,7,9,11,10,9,8
21,2020-03-24 16:15:02,27,25,18,26,13,7,5,12,7,9,11,10,9,8
21,2020-03-24 16:20:02,27,26,19,26,14,7,5,12,7,9,12,10,9,8
21,2020-03-24 16:25:02,29,16,19,27,14,6,5,12,7,9,11,10,9,8
21,2020-03-24 16:30:27,30,10,21,28,14,6,5,11,7,9,11,10,9,8
